"","plantid","shootmass","leafnum","stolonnum","nodulenum","MassofNodules","NodulesinTube","meannodulemass","totalnodulemass","Chlor","Harvester","Harvestdate","Harvestday","strain","nitrogen","field","plot","plantspori","plantpopori","plantsprear","plantpoprear","type"
"475",822,0.59,39,3,125,0.0366,100,0.000366,0.04575,46,"DW","9-Feb",27,"559","Control","4","4A","T. pratense","Pennsylvania","T. repens","Chile","treat"
"476",824,0.83,32,4,32,0.0322,32,0.00100625,0.0322,57.7,"JL","10-Feb",28,"861","Control","5","5A","T. repens","Chile","T. repens","Chile","treat"
"477",826,0.32,15,2,51,0.0119,51,0.000233333,0.0119,49.6,"JL","10-Feb",28,"538","Nitrogen","1","1B","T. hybridum","Russia","T. hybridum","Russia","treat"
"478",828,0.29,18,4,360,0.019,100,0.00019,0.0684,40.8,"JL","10-Feb",28,"460","Control","3","3A","T. repens","Chile","T. hybridum","Russia","treat"
"479",829,0.52,23,3,126,0.0236,108,0.000218519,0.027533333,47.4,"JL","10-Feb",28,"318","Control","2","2A","T. pratense","Pennsylvania","T. hybridum","Russia","treat"
"480",831,0.97,16,3,294,0.202,100,0.00202,0.59388,50,"JL","10-Feb",28,"108","Control","3","3A","T. hybridum","Colorado","T. pratense","Pennsylvania","treat"
"481",833,1.19,17,3,125,0.054,100,0.00054,0.0675,55.4,"TS","9-Feb",27,"318","Control","2","2A","T. pratense","Pennsylvania","T. pratense","Pennsylvania","treat"
"482",834,0.99,21,3,176,0.0117,100,0.000117,0.020592,43.3,"TS","10-Feb",28,"231","Nitrogen","6","6B","T. repens","France","T. hybridum","Colorado","treat"
"483",835,0.32,14,3,82,0.0155,82,0.000189024,0.0155,35.6,"JL","10-Feb",28,"116","Nitrogen","1","1B","T. pratense","Greece","T. repens","Idaho","treat"
"484",836,0.34,11,2,278,0.0259,100,0.000259,0.072002,37.8,"JL","10-Feb",28,"577","Nitrogen","3","3B","T. hybridum","Colorado","T. pratense","Greece","treat"
"485",839,0.43,20,3,60,0.0167,60,0.000278333,0.0167,40,"JL","10-Feb",28,"145","Control","3","3A","T. pratense","Greece","T. repens","Idaho","treat"
"486",841,0.23,14,2,82,0.0196,82,0.000239024,0.0196,37.7,"TS","9-Feb",27,"901","Control","2","2A","T. repens","Idaho","T. hybridum","Colorado","treat"
"487",843,0.37,22,2,66,0.0245,66,0.000371212,0.0245,41.8,"TS","10-Feb",28,"415","Control","3","3A","T. repens","Idaho","T. repens","Idaho","treat"
"488",844,0.36,10,1,203,0.0246,100,0.000246,0.049938,33.3,"JL","10-Feb",28,"478","Nitrogen","2","2B","T. repens","Chile","T. pratense","Greece","treat"
"489",845,0.31,15,3,170,0.02,100,2e-04,0.034,29.4,"JL","10-Feb",28,"901","Control","2","2A","T. repens","Idaho","T. hybridum","Russia","treat"
"490",848,0.14,14,3,18,0.02,18,0.001111111,0.02,11.9,"JL","10-Feb",28,"3","Control","6","6A","T. repens","Idaho","T. hybridum","Colorado","treat"
"491",849,0.43,22,3,54,0.0141,54,0.000261111,0.0141,49.1,"JL","10-Feb",28,"328","Nitrogen","2","2B","T. pratense","Greece","T. hybridum","Russia","treat"
"492",850,0.6,9,1,54,0.0245,54,0.000453704,0.0245,47.8,"JL","10-Feb",28,"527","Nitrogen","3","3B","T. pratense","Greece","T. pratense","Pennsylvania","treat"
"493",851,0.69,13,1,156,NA,100,NA,NA,45.6,"TS","9-Feb",27,"173","Control","2","2A","T. repens","Chile","T. pratense","Pennsylvania","treat"
"494",852,0.62,17,3,69,0.0328,69,0.000475362,0.0328,55.1,"TS","10-Feb",28,"328","Nitrogen","2","2B","T. pratense","Greece","T. pratense","Greece","treat"
"495",853,0.94,16,2,71,0.0147,71,0.000207042,0.0147,43.3,"JL","10-Feb",28,"160","Control","5","5A","T. pratense","Pennsylvania","T. pratense","Pennsylvania","treat"
"496",854,0.36,21,4,75,0.0305,75,0.000406667,0.0305,35.8,"JL","10-Feb",28,"837","Control","3","3A","T. hybridum","Russia","T. repens","Chile","treat"
"497",856,0.09,4,1,182,0.3,100,0.003,0.546,23.7,"JL","10-Feb",28,"859","Nitrogen","4","4B","T. repens","Chile","T. pratense","Greece","treat"
"498",857,0.45,16,4,99,0.0197,99,0.00019899,0.0197,51.1,"JL","9-Feb",27,"462","Control","5","5A","T. hybridum","Colorado","T. hybridum","Russia","treat"
"499",860,0.81,16,3,117,0.0285,100,0.000285,0.033345,36.3,"JL","10-Feb",28,"116","Nitrogen","1","1B","T. pratense","Greece","T. hybridum","Colorado","treat"
"500",864,0.08,11,1,324,0.0154,101,0.000152475,0.04940198,15.1,"DW","11-Feb",29,"449","Control","2","2A","T. hybridum","Russia","T. hybridum","Russia","treat"
"501",865,0.53,32,3,210,0.0195,102,0.000191176,0.040147059,38.9,"DW","11-Feb",29,"180","Control","5","5A","T. repens","Idaho","T. repens","Idaho","treat"
